transaction_description,amount,date,category
Water Board,23.14,2023-07-17,Utilities
BSNL Bill,196.77,2023-06-25,Utilities
1mg,246.07,2023-07-07,Healthcare
Domino's,158.28,2023-02-13,Dining
Ajio,882.28,2023-06-14,Shopping
Coursera,220.61,2022-09-11,Education
Zomato,164.9,2022-12-13,Dining
Nature's Basket,391.2,2023-07-22,Groceries
Barbeque Nation,75.95,2022-08-14,Dining
Big Bazaar,810.24,2023-12-26,Groceries
Reliance Fresh,38.74,2022-03-11,Groceries
D-Mart,2167.07,2022-03-14,Groceries
Google Pay,739.74,2022-10-13,Others
Udemy,110.77,2023-07-07,Education
Indane Gas,2.77,2023-08-14,Utilities
Udemy,844.95,2023-04-30,Education
1mg,613.55,2022-04-07,Healthcare
BookMyShow,652.83,2022-12-29,Entertainment
MedPlus,737.61,2023-04-24,Healthcare
Big Bazaar,38.46,2022-03-04,Groceries
Practo,221.95,2022-04-22,Healthcare
Swiggy,61.58,2022-07-14,Dining
ATM Withdrawal,994.26,2022-05-24,Others
1mg,488.15,2022-10-13,Healthcare
Udemy,200.91,2022-03-19,Education
Unacademy,32.83,2022-04-11,Education
Nature's Basket,186.24,2022-01-16,Groceries
Netflix,196.66,2022-06-20,Entertainment
MedPlus,653.94,2023-05-08,Healthcare
McDonald's,507.44,2022-03-02,Dining
Water Board,1091.13,2022-01-03,Utilities
Practo,319.53,2023-04-11,Healthcare
Air India,63.69,2023-12-15,Travel
ATM Withdrawal,624.56,2022-06-08,Others
Domino's,715.2,2022-08-11,Dining
Nature's Basket,411.94,2023-07-10,Groceries
D-Mart,736.94,2022-02-28,Groceries
Nature's Basket,340.41,2023-05-04,Groceries
UPI Transfer,369.84,2022-06-11,Others
Nature's Basket,278.91,2022-03-24,Groceries
BESCOM,12.87,2023-09-02,Utilities
Netflix,57.08,2023-02-18,Entertainment
Spotify,15.97,2022-09-10,Entertainment
Nature's Basket,505.86,2022-03-25,Groceries
Fortis Hospital,188.7,2023-08-02,Healthcare
PhonePe,355.22,2022-09-25,Others
Domino's,1190.63,2022-09-02,Dining
Air India,143.37,2022-05-15,Travel
Air India,264.14,2022-11-20,Travel
PVR Cinemas,704.37,2023-04-15,Entertainment
PVR Cinemas,129.9,2023-07-05,Entertainment
Barbeque Nation,40.05,2022-09-29,Dining
BSNL Bill,171.07,2022-03-12,Utilities
Domino's,87.9,2022-10-19,Dining
Water Board,1327.48,2023-07-11,Utilities
Indigo Airlines,825.44,2023-11-01,Travel
Paytm Recharge,501.75,2023-11-15,Others
PhonePe,1025.76,2023-11-11,Others
Netflix,813.98,2022-09-28,Entertainment
PVR Cinemas,103.25,2023-07-21,Entertainment
BSNL Bill,1115.41,2022-10-16,Utilities
Domino's,387.55,2022-07-28,Dining
Indigo Airlines,823.67,2023-05-16,Travel
Uber,1132.12,2022-04-05,Travel
Practo,191.37,2022-02-15,Healthcare
D-Mart,58.3,2022-05-14,Groceries
Ola,129.34,2023-03-29,Travel
ATM Withdrawal,278.53,2023-07-29,Others
Big Bazaar,851.91,2022-03-19,Groceries
Indane Gas,985.67,2022-02-06,Utilities
Tata CLiQ,3.49,2023-07-20,Shopping
Water Board,357.44,2022-05-11,Utilities
D-Mart,270.14,2023-01-09,Groceries
D-Mart,125.58,2022-08-04,Groceries
Zomato,63.84,2022-12-29,Dining
ATM Withdrawal,205.95,2023-09-28,Others
Mahanagar Gas,1431.56,2022-06-16,Utilities
Water Board,195.19,2022-01-26,Utilities
BSNL Bill,365.73,2023-02-26,Utilities
Domino's,607.04,2022-06-13,Dining
BookMyShow,225.99,2022-02-09,Entertainment
Udemy,1783.9,2022-07-24,Education
BYJU'S,1641.0,2022-11-09,Education
Swiggy,145.03,2022-01-25,Dining
McDonald's,343.83,2022-12-03,Dining
Uber,178.97,2022-10-13,Travel
Tata CLiQ,167.62,2023-02-14,Shopping
PhonePe,18.79,2022-01-29,Others
Hotstar,470.25,2022-07-02,Entertainment
Uber,349.26,2022-04-22,Travel
Practo,26.43,2022-11-18,Healthcare
Fortis Hospital,163.31,2023-06-08,Healthcare
BookMyShow,1194.43,2023-08-14,Entertainment
Domino's,136.93,2022-02-15,Dining
Apollo Pharmacy,78.27,2023-06-17,Healthcare
Google Pay,336.14,2023-01-08,Others
Apollo Pharmacy,2122.02,2023-11-12,Healthcare
Tata CLiQ,138.57,2022-11-18,Shopping
Hotstar,557.58,2023-06-04,Entertainment
Air India,716.94,2022-12-01,Travel
Practo,135.67,2023-07-22,Healthcare
Mahanagar Gas,651.37,2023-03-07,Utilities
1mg,229.26,2023-09-23,Healthcare
Air India,500.25,2023-07-16,Travel
D-Mart,501.92,2022-10-21,Groceries
McDonald's,383.69,2023-08-17,Dining
Ajio,47.31,2023-03-29,Shopping
Udemy,901.82,2023-06-08,Education
Udemy,193.41,2023-11-06,Education
Hotstar,103.22,2023-06-12,Entertainment
Amazon,20.81,2022-08-29,Shopping
Ola,446.89,2022-07-23,Travel
BESCOM,565.93,2022-02-17,Utilities
McDonald's,8.36,2023-09-18,Dining
BookMyShow,358.82,2023-03-01,Entertainment
McDonald's,128.41,2023-05-22,Dining
1mg,518.06,2022-06-01,Healthcare
Big Bazaar,95.8,2023-03-12,Groceries
Swiggy,587.11,2023-12-14,Dining
ATM Withdrawal,244.48,2022-02-21,Others
Google Pay,1380.17,2022-05-05,Others
Udemy,73.97,2023-04-21,Education
UPI Transfer,208.57,2023-09-02,Others
Ajio,60.22,2023-09-20,Shopping
ATM Withdrawal,1293.1,2023-07-16,Others
Udemy,1049.17,2023-05-02,Education
BYJU'S,149.16,2022-09-11,Education
Indigo Airlines,539.38,2023-05-12,Travel
Domino's,849.74,2023-03-27,Dining
Hotstar,405.07,2022-08-29,Entertainment
IRCTC,377.14,2022-11-24,Travel
Paytm Recharge,138.44,2022-05-22,Others
Mahanagar Gas,48.86,2023-01-28,Utilities
Mahanagar Gas,1137.56,2022-03-07,Utilities
MedPlus,1153.39,2022-12-05,Healthcare
ATM Withdrawal,501.33,2023-03-02,Others
Reliance Fresh,207.02,2023-03-07,Groceries
Fortis Hospital,214.78,2023-12-14,Healthcare
Nature's Basket,647.23,2023-01-25,Groceries
Coursera,1137.05,2022-12-27,Education
Air India,1090.57,2023-03-06,Travel
UPI Transfer,756.78,2023-09-10,Others
McDonald's,513.66,2022-08-13,Dining
Air India,43.95,2023-05-13,Travel
Spencer's,88.15,2022-12-11,Groceries
1mg,1144.12,2023-04-24,Healthcare
Indane Gas,466.25,2023-07-01,Utilities
Spencer's,4.62,2023-08-30,Groceries
Big Bazaar,53.5,2023-10-21,Groceries
1mg,544.58,2023-04-18,Healthcare
BESCOM,2.54,2022-09-24,Utilities
Practo,87.66,2022-08-05,Healthcare
BYJU'S,397.85,2022-12-12,Education
Practo,588.66,2023-03-08,Healthcare
Uber,527.72,2023-04-27,Travel
Nature's Basket,126.97,2022-02-23,Groceries
Flipkart,622.71,2023-10-28,Shopping
PVR Cinemas,135.41,2022-02-01,Entertainment
Swiggy,196.82,2022-01-21,Dining
Mahanagar Gas,686.18,2022-05-10,Utilities
Coursera,524.39,2023-08-01,Education
McDonald's,945.98,2023-12-18,Dining
IRCTC,535.91,2022-06-21,Travel
Netflix,420.02,2022-11-15,Entertainment
Spotify,49.18,2022-01-27,Entertainment
Indigo Airlines,229.21,2023-11-25,Travel
MedPlus,154.08,2022-07-23,Healthcare
Spotify,139.85,2023-12-09,Entertainment
Zomato,1806.15,2023-12-15,Dining
Indigo Airlines,249.69,2022-05-04,Travel
D-Mart,1113.03,2023-06-30,Groceries
Practo,498.67,2022-03-12,Healthcare
PhonePe,791.91,2022-01-13,Others
MedPlus,349.22,2022-04-19,Healthcare
Practo,430.08,2023-10-13,Healthcare
Udemy,339.15,2023-03-22,Education
Indane Gas,108.61,2023-10-29,Utilities
Indigo Airlines,640.88,2023-07-06,Travel
Vedantu,164.79,2023-03-23,Education
IRCTC,12.31,2022-09-09,Travel
Hotstar,518.48,2023-04-07,Entertainment
McDonald's,97.47,2023-08-07,Dining
Practo,1410.54,2022-01-30,Healthcare
BYJU'S,1538.78,2022-07-06,Education
Udemy,1231.75,2022-12-30,Education
IRCTC,231.14,2022-10-14,Travel
Indigo Airlines,7.79,2022-01-11,Travel
Google Pay,1317.76,2022-03-29,Others
McDonald's,279.47,2023-05-16,Dining
Google Pay,1700.42,2023-12-09,Others
Vedantu,1656.87,2023-04-04,Education
Big Bazaar,958.69,2022-10-29,Groceries
McDonald's,174.39,2023-12-10,Dining
Domino's,243.15,2023-11-11,Dining
Ajio,952.36,2023-07-21,Shopping
PhonePe,190.57,2023-03-12,Others
PhonePe,92.86,2022-12-27,Others
BYJU'S,406.87,2022-11-10,Education
Ola,1375.65,2022-05-04,Travel
Domino's,595.41,2022-05-03,Dining
Google Pay,422.06,2022-07-16,Others
McDonald's,51.11,2022-10-11,Dining
UPI Transfer,477.27,2022-10-17,Others
Netflix,2305.28,2022-10-31,Entertainment
Domino's,75.46,2022-07-03,Dining
Uber,365.25,2023-12-27,Travel
Google Pay,1049.3,2022-10-08,Others
Big Bazaar,675.02,2023-07-21,Groceries
Ola,597.04,2023-10-16,Travel
Coursera,606.14,2022-01-13,Education
Air India,222.75,2023-05-06,Travel
BYJU'S,173.78,2022-07-08,Education
D-Mart,828.69,2023-05-05,Groceries
PVR Cinemas,830.66,2023-02-15,Entertainment
Coursera,1008.98,2023-08-14,Education
Reliance Fresh,1222.31,2022-06-02,Groceries
Uber,358.05,2022-09-12,Travel
Spotify,348.09,2023-03-03,Entertainment
Barbeque Nation,800.47,2023-01-25,Dining
Vedantu,524.86,2022-11-01,Education
Practo,605.28,2023-08-06,Healthcare
Nature's Basket,794.31,2022-04-12,Groceries
Swiggy,1103.66,2022-09-28,Dining
Netflix,206.24,2022-09-03,Entertainment
Indane Gas,235.47,2022-03-18,Utilities
BESCOM,49.35,2023-02-23,Utilities
Unacademy,431.71,2023-04-27,Education
Uber,18.3,2022-08-26,Travel
IRCTC,313.3,2023-12-21,Travel
Coursera,391.15,2023-12-05,Education
Domino's,168.82,2023-10-03,Dining
McDonald's,446.82,2022-04-28,Dining
Google Pay,15.49,2023-10-26,Others
BSNL Bill,19.03,2022-05-26,Utilities
PVR Cinemas,864.68,2022-06-19,Entertainment
Indigo Airlines,223.29,2023-08-06,Travel
Air India,67.94,2022-05-08,Travel
BYJU'S,369.33,2023-12-18,Education
Practo,734.82,2023-05-28,Healthcare
ATM Withdrawal,121.56,2023-03-25,Others
Spotify,487.61,2022-02-10,Entertainment
Practo,44.61,2023-09-11,Healthcare
Uber,26.53,2022-04-04,Travel
Barbeque Nation,378.95,2023-08-25,Dining
D-Mart,388.96,2023-08-14,Groceries
Reliance Fresh,507.27,2023-04-27,Groceries
ATM Withdrawal,647.48,2022-10-12,Others
Indane Gas,1861.78,2023-03-23,Utilities
Coursera,363.15,2023-04-27,Education
Ajio,195.01,2022-12-08,Shopping
Amazon,792.83,2022-06-14,Shopping
Ajio,157.93,2023-12-12,Shopping
BYJU'S,288.99,2023-11-10,Education
Fortis Hospital,40.85,2022-02-07,Healthcare
Coursera,12.84,2022-11-19,Education
IRCTC,1643.69,2022-04-29,Travel
Fortis Hospital,903.88,2022-01-02,Healthcare
ATM Withdrawal,595.32,2023-02-28,Others
Reliance Fresh,262.93,2023-06-15,Groceries
Tata CLiQ,95.15,2023-05-26,Shopping
Coursera,85.06,2022-07-28,Education
Indigo Airlines,144.0,2022-05-15,Travel
Air India,398.4,2023-12-17,Travel
Coursera,626.92,2022-01-30,Education
Swiggy,539.7,2022-11-15,Dining
Paytm Recharge,164.21,2023-07-20,Others
Apollo Pharmacy,1549.05,2022-08-19,Healthcare
BookMyShow,669.51,2022-05-01,Entertainment
Water Board,404.12,2022-10-26,Utilities
PhonePe,473.02,2023-03-02,Others
Vedantu,272.02,2022-09-07,Education
Unacademy,142.33,2022-05-29,Education
1mg,220.01,2023-09-06,Healthcare
Google Pay,709.09,2022-03-13,Others
Air India,7.25,2022-12-15,Travel
PhonePe,61.69,2022-01-03,Others
IRCTC,23.55,2023-08-25,Travel
Udemy,20.79,2023-04-03,Education
ATM Withdrawal,967.1,2022-12-20,Others
Tata CLiQ,608.12,2023-07-11,Shopping
MedPlus,321.39,2022-11-26,Healthcare
Swiggy,51.48,2023-08-09,Dining
1mg,338.26,2023-02-25,Healthcare
D-Mart,320.73,2023-04-30,Groceries
MedPlus,95.1,2023-11-11,Healthcare
Water Board,284.45,2022-02-07,Utilities
Indane Gas,254.17,2023-08-28,Utilities
Amazon,478.36,2023-03-27,Shopping
Spotify,504.06,2023-04-13,Entertainment
Reliance Fresh,23.18,2023-02-24,Groceries
BESCOM,234.69,2023-04-26,Utilities
IRCTC,491.56,2023-10-01,Travel
Apollo Pharmacy,349.72,2022-12-03,Healthcare
ATM Withdrawal,970.67,2022-11-21,Others
Unacademy,537.49,2022-02-06,Education
Netflix,88.93,2023-10-09,Entertainment
Ola,36.59,2022-04-03,Travel
Apollo Pharmacy,514.2,2023-10-11,Healthcare
BookMyShow,13.43,2022-06-20,Entertainment
Uber,440.67,2022-02-17,Travel
Amazon,1408.63,2022-10-28,Shopping
Myntra,428.39,2023-03-18,Shopping
Mahanagar Gas,245.65,2023-06-28,Utilities
Fortis Hospital,515.41,2023-11-30,Healthcare
Mahanagar Gas,306.48,2022-06-29,Utilities
Spotify,394.41,2023-01-27,Entertainment
McDonald's,1419.06,2023-08-21,Dining
Mahanagar Gas,243.96,2023-04-18,Utilities
Air India,1624.55,2022-09-19,Travel
Spencer's,1178.79,2022-10-22,Groceries
Google Pay,108.95,2022-03-17,Others
BYJU'S,35.94,2023-08-25,Education
Air India,53.11,2023-12-08,Travel
Air India,9.19,2022-11-06,Travel
McDonald's,49.6,2023-05-10,Dining
Netflix,574.44,2023-01-26,Entertainment
Tata CLiQ,36.92,2022-10-30,Shopping
Uber,192.08,2023-11-06,Travel
Practo,931.76,2022-01-09,Healthcare
Nature's Basket,11.77,2023-05-24,Groceries
Ola,842.27,2023-09-14,Travel
Flipkart,165.54,2023-10-14,Shopping
Barbeque Nation,62.88,2022-09-14,Dining
BESCOM,596.58,2023-10-05,Utilities
D-Mart,495.7,2023-03-28,Groceries
Nature's Basket,1049.71,2023-01-09,Groceries
BESCOM,664.15,2022-10-30,Utilities
Ajio,813.5,2022-06-29,Shopping
Swiggy,165.67,2023-07-07,Dining
Tata CLiQ,97.67,2023-05-29,Shopping
Ola,694.38,2022-09-21,Travel
BYJU'S,822.1,2022-12-13,Education
BookMyShow,2328.5,2022-03-19,Entertainment
Mahanagar Gas,266.04,2023-11-24,Utilities
Fortis Hospital,232.62,2023-01-10,Healthcare
BookMyShow,748.98,2022-01-15,Entertainment
Indigo Airlines,208.37,2022-05-07,Travel
BYJU'S,1335.07,2023-11-20,Education
Indigo Airlines,977.42,2023-01-26,Travel
Amazon,280.18,2023-11-23,Shopping
McDonald's,694.89,2022-01-26,Dining
PhonePe,702.32,2023-09-17,Others
Zomato,54.42,2023-10-13,Dining
BYJU'S,1164.22,2023-10-27,Education
Apollo Pharmacy,351.85,2022-05-24,Healthcare
Big Bazaar,875.67,2022-11-08,Groceries
Coursera,192.87,2022-04-10,Education
Barbeque Nation,1129.4,2022-05-19,Dining
MedPlus,246.49,2023-01-15,Healthcare
ATM Withdrawal,5.45,2023-08-25,Others
Water Board,1178.95,2023-11-02,Utilities
BookMyShow,47.86,2023-09-23,Entertainment
Practo,192.33,2022-02-03,Healthcare
Flipkart,1498.49,2023-03-31,Shopping
Udemy,1503.97,2023-01-07,Education
Hotstar,426.0,2023-07-12,Entertainment
Amazon,499.62,2023-02-12,Shopping
Ola,297.51,2022-05-06,Travel
Coursera,173.51,2023-11-10,Education
Barbeque Nation,199.24,2022-01-22,Dining
D-Mart,558.16,2022-09-07,Groceries
Indane Gas,697.92,2022-07-30,Utilities
Spotify,784.1,2022-08-01,Entertainment
Swiggy,779.42,2022-12-03,Dining
Indane Gas,47.82,2022-01-03,Utilities
Ola,341.02,2022-05-14,Travel
PhonePe,29.64,2022-06-28,Others
PVR Cinemas,398.73,2022-05-15,Entertainment
D-Mart,291.28,2022-09-01,Groceries
Amazon,1093.31,2022-06-28,Shopping
Uber,216.1,2022-05-10,Travel
Fortis Hospital,62.25,2022-04-27,Healthcare
BookMyShow,77.15,2023-04-05,Entertainment
Tata CLiQ,716.72,2023-08-31,Shopping
BookMyShow,481.45,2023-05-31,Entertainment
Barbeque Nation,53.3,2022-02-14,Dining
PhonePe,43.93,2023-04-15,Others
Big Bazaar,603.6,2023-05-06,Groceries
MedPlus,37.77,2023-12-04,Healthcare
BookMyShow,862.59,2023-12-31,Entertainment
Coursera,612.5,2022-03-24,Education
Tata CLiQ,42.42,2022-06-01,Shopping
Netflix,44.33,2022-10-09,Entertainment
PhonePe,2157.73,2023-01-26,Others
PhonePe,234.42,2023-04-10,Others
UPI Transfer,231.53,2023-03-17,Others
PVR Cinemas,837.79,2023-11-02,Entertainment
Google Pay,1471.08,2023-03-17,Others
Udemy,2134.39,2023-02-28,Education
Ajio,699.95,2023-02-13,Shopping
Apollo Pharmacy,236.01,2022-11-17,Healthcare
Practo,43.6,2023-11-13,Healthcare
IRCTC,750.62,2022-06-06,Travel
Coursera,408.68,2022-04-04,Education
PVR Cinemas,276.02,2023-03-19,Entertainment
Hotstar,1184.12,2022-05-14,Entertainment
Paytm Recharge,58.94,2023-08-24,Others
UPI Transfer,339.25,2022-12-04,Others
BookMyShow,5.71,2022-12-29,Entertainment
Apollo Pharmacy,316.18,2022-10-22,Healthcare
IRCTC,28.98,2022-04-17,Travel
Google Pay,63.25,2022-06-08,Others
Udemy,62.51,2022-04-21,Education
Tata CLiQ,523.78,2023-01-12,Shopping
Hotstar,685.3,2023-08-11,Entertainment
McDonald's,437.78,2023-07-29,Dining
Paytm Recharge,1637.36,2023-09-16,Others
Uber,234.9,2022-07-04,Travel
IRCTC,168.23,2022-12-14,Travel
Amazon,1014.75,2022-07-05,Shopping
Indane Gas,126.54,2023-11-05,Utilities
Apollo Pharmacy,1651.44,2022-05-26,Healthcare
Big Bazaar,6.11,2023-06-28,Groceries
McDonald's,1751.26,2023-03-06,Dining
BYJU'S,22.06,2022-06-11,Education
Myntra,1108.86,2022-11-29,Shopping
PVR Cinemas,375.07,2022-06-09,Entertainment
Indane Gas,2478.41,2022-02-20,Utilities
Hotstar,38.33,2023-03-30,Entertainment
MedPlus,403.55,2023-09-14,Healthcare
Vedantu,1741.79,2022-10-07,Education
Barbeque Nation,370.22,2022-04-27,Dining
Ajio,496.31,2022-04-24,Shopping
Indigo Airlines,594.95,2023-05-14,Travel
PhonePe,303.06,2022-02-16,Others
McDonald's,493.84,2023-09-06,Dining
Big Bazaar,438.91,2022-07-29,Groceries
Ola,1157.12,2022-05-21,Travel
IRCTC,23.26,2022-12-02,Travel
PVR Cinemas,164.92,2023-05-25,Entertainment
1mg,1502.0,2022-05-13,Healthcare
Fortis Hospital,1104.84,2023-12-22,Healthcare
Barbeque Nation,304.09,2023-07-27,Dining
Amazon,483.97,2023-02-11,Shopping
Spencer's,162.44,2022-01-20,Groceries
Coursera,104.2,2022-11-17,Education
Fortis Hospital,311.53,2023-02-19,Healthcare
Practo,217.98,2022-04-28,Healthcare
Apollo Pharmacy,438.12,2022-11-29,Healthcare
Indane Gas,40.46,2023-04-17,Utilities
Amazon,1832.48,2023-03-24,Shopping
Netflix,2141.93,2023-03-23,Entertainment
Fortis Hospital,598.93,2022-03-22,Healthcare
Practo,384.04,2022-12-14,Healthcare
Domino's,185.19,2022-06-22,Dining
Spotify,840.45,2023-10-11,Entertainment
Spotify,577.16,2023-06-07,Entertainment
Domino's,88.74,2022-12-26,Dining
Mahanagar Gas,1209.15,2022-04-16,Utilities
BSNL Bill,864.5,2022-07-22,Utilities
Indane Gas,1495.87,2022-06-06,Utilities
Netflix,646.8,2023-10-06,Entertainment
Vedantu,475.2,2023-08-01,Education
Unacademy,270.85,2023-10-21,Education
Myntra,1349.51,2022-06-04,Shopping
Coursera,1005.2,2023-04-26,Education
BYJU'S,23.14,2022-10-09,Education
D-Mart,13.36,2023-06-04,Groceries
Hotstar,236.17,2023-04-18,Entertainment
Coursera,831.82,2022-02-28,Education
Myntra,2182.14,2022-03-20,Shopping
Spotify,81.5,2023-09-01,Entertainment
ATM Withdrawal,450.86,2023-04-19,Others
Paytm Recharge,239.74,2023-04-06,Others
Domino's,1751.85,2023-09-12,Dining
Unacademy,922.96,2022-06-04,Education
Spencer's,911.1,2022-04-16,Groceries
Amazon,316.21,2023-06-01,Shopping
BESCOM,267.92,2022-09-11,Utilities
Vedantu,159.69,2023-06-21,Education
UPI Transfer,29.01,2022-06-12,Others
Myntra,1000.21,2022-10-17,Shopping
MedPlus,838.06,2022-12-13,Healthcare
D-Mart,4086.22,2022-03-09,Groceries
Amazon,2847.44,2023-07-26,Shopping
Practo,405.33,2022-09-16,Healthcare
BSNL Bill,732.64,2022-03-25,Utilities
BSNL Bill,1448.09,2022-11-14,Utilities
1mg,947.39,2023-09-02,Healthcare
Hotstar,142.08,2023-07-27,Entertainment
Practo,299.41,2022-05-11,Healthcare
Paytm Recharge,69.15,2023-10-24,Others
Fortis Hospital,1540.11,2023-01-06,Healthcare
D-Mart,465.92,2022-11-13,Groceries
Mahanagar Gas,129.8,2022-12-16,Utilities
Udemy,556.91,2022-08-20,Education
Mahanagar Gas,481.34,2022-03-21,Utilities
Uber,221.71,2023-06-04,Travel
UPI Transfer,60.27,2022-02-08,Others
Tata CLiQ,556.72,2022-05-15,Shopping
1mg,367.31,2022-06-16,Healthcare
Indane Gas,739.9,2022-06-19,Utilities
Coursera,367.15,2023-02-25,Education
Flipkart,955.89,2023-03-31,Shopping
Air India,401.38,2022-08-28,Travel
Google Pay,411.56,2022-11-13,Others
Udemy,1046.38,2023-01-12,Education
Vedantu,258.32,2022-10-16,Education
Fortis Hospital,71.94,2023-06-25,Healthcare
1mg,14.6,2022-07-24,Healthcare
BSNL Bill,703.53,2022-02-23,Utilities
BYJU'S,484.2,2023-07-22,Education
Spotify,608.83,2022-05-08,Entertainment
Uber,119.74,2022-06-14,Travel
Air India,73.31,2023-06-10,Travel
Water Board,7.33,2022-04-04,Utilities
McDonald's,215.84,2022-12-24,Dining
Spencer's,445.7,2022-02-24,Groceries
Fortis Hospital,248.99,2023-01-18,Healthcare
McDonald's,287.66,2022-03-25,Dining
Flipkart,1172.53,2022-01-29,Shopping
Amazon,214.05,2023-10-28,Shopping
Flipkart,360.76,2022-05-21,Shopping
D-Mart,765.44,2023-04-29,Groceries
Water Board,252.54,2023-04-05,Utilities
Big Bazaar,486.55,2022-01-20,Groceries
Ola,991.57,2022-06-03,Travel
UPI Transfer,1493.1,2023-06-25,Others
Apollo Pharmacy,79.54,2022-10-23,Healthcare
Domino's,1305.83,2022-05-05,Dining
Reliance Fresh,338.75,2023-03-06,Groceries
Coursera,149.37,2022-04-24,Education
Unacademy,307.29,2023-07-03,Education
Nature's Basket,1956.83,2023-08-12,Groceries
Swiggy,339.25,2022-10-26,Dining
Apollo Pharmacy,199.31,2023-09-22,Healthcare
Flipkart,501.74,2023-08-08,Shopping
1mg,137.31,2023-11-12,Healthcare
Spotify,39.45,2023-01-05,Entertainment
Spotify,68.99,2023-07-12,Entertainment
UPI Transfer,68.51,2023-07-22,Others
Spencer's,82.38,2023-04-27,Groceries
Spencer's,74.73,2023-01-18,Groceries
Uber,512.04,2023-01-01,Travel
Hotstar,100.37,2022-09-04,Entertainment
Spotify,212.07,2022-12-07,Entertainment
BESCOM,1135.49,2022-12-27,Utilities
PhonePe,321.19,2023-10-21,Others
Water Board,550.64,2023-12-14,Utilities
Udemy,94.56,2022-05-19,Education
BookMyShow,106.78,2022-02-07,Entertainment
Ola,20.86,2022-02-14,Travel
Zomato,92.52,2022-11-20,Dining
Indigo Airlines,163.27,2023-02-12,Travel
ATM Withdrawal,97.41,2022-09-17,Others
Reliance Fresh,46.44,2022-10-20,Groceries
Amazon,64.28,2023-11-03,Shopping
Myntra,308.81,2022-05-08,Shopping
Ajio,115.55,2023-02-14,Shopping
Vedantu,226.49,2022-12-14,Education
Water Board,350.0,2023-12-10,Utilities
BYJU'S,586.23,2023-06-16,Education
Uber,20.05,2023-03-11,Travel
BookMyShow,803.25,2023-09-09,Entertainment
Indane Gas,494.3,2022-10-28,Utilities
Amazon,42.65,2022-03-23,Shopping
Myntra,1034.07,2022-11-10,Shopping
Unacademy,1268.35,2023-03-13,Education
Water Board,31.51,2022-12-26,Utilities
Coursera,162.09,2022-12-28,Education
Practo,820.47,2023-10-17,Healthcare
Big Bazaar,689.68,2023-11-19,Groceries
Practo,101.99,2023-06-10,Healthcare
BESCOM,117.45,2022-05-27,Utilities
Coursera,231.39,2022-05-10,Education
Netflix,331.33,2023-10-23,Entertainment
Myntra,481.5,2023-01-28,Shopping
Nature's Basket,230.16,2022-06-07,Groceries
BYJU'S,310.45,2023-01-16,Education
Coursera,688.11,2023-08-11,Education
Indane Gas,18.69,2023-01-11,Utilities
Practo,145.47,2023-10-28,Healthcare
Ola,624.75,2022-04-27,Travel
